@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
1,1,1,1,11,0,6,5,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4,4,5,3,29,1,17,11,0
1,1,1,1,12,0,5,7,0
3,3,3,1,19,0,10,9,0
2,2,3,1,13,0,8,4,0
1,1,1,1,10,0,6,4,0
1,1,1,1,11,0,6,5,0
1,1,2,1,3,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,2,2,1,13,0,9,4,0
3,3,3,1,17,0,12,4,0
2,2,2,2,11,0,6,5,0
1,1,1,1,12,0,7,5,0
2,2,2,1,14,0,8,6,0
1,1,1,1,10,0,6,4,0
1,1,1,1,9,0,5,3,0
1,1,1,1,11,0,6,4,0
2,2,2,1,33,2,21,9,0
6,6,6,1,28,2,22,4,0
1,1,1,1,14,0,5,8,0
1,1,2,1,11,0,6,4,0
6,6,6,1,19,1,17,1,0
1,1,2,1,9,0,6,3,0
1,1,2,1,9,0,6,3,0
1,1,2,1,10,0,4,5,0
4,3,4,1,25,0,16,8,0
1,1,1,1,20,0,4,15,0
1,1,2,1,16,0,7,8,0
2,2,2,1,14,1,7,5,0
0,0,0,0,0,0,0,0,0
1,1,1,1,8,0,3,5,0
2,2,2,1,22,0,9,13,1
4,4,4,4,13,0,12,1,0
1,1,1,1,7,0,2,4,0
2,2,3,1,15,0,9,5,0
1,1,1,1,9,0,3,6,0
2,2,2,1,9,0,6,3,0
2,2,2,1,15,0,7,7,0
2,2,2,1,18,0,9,8,0
1,1,1,1,8,0,2,5,0
1,1,1,1,8,0,2,5,0
2,2,2,1,14,0,9,4,0
1,1,1,1,10,0,4,5,0
1,1,1,1,8,0,4,4,0
1,1,2,1,12,0,7,5,0
2,2,3,1,15,0,8,7,0
1,1,1,1,3,0,3,0,0
4,4,4,2,24,1,17,5,0
1,1,1,1,3,0,3,0,0
1,1,1,1,11,0,4,7,0
1,1,1,1,6,0,2,3,0
3,3,4,2,19,0,15,4,0
1,1,1,1,9,0,7,2,0
2,2,2,1,15,0,8,7,0
2,2,2,1,11,1,7,3,0
1,1,2,1,10,0,4,5,0
2,2,2,1,14,0,8,5,0
3,3,3,1,17,0,10,6,0
2,2,2,1,17,0,10,7,0
1,1,1,1,10,0,5,5,0
2,2,2,1,15,0,9,6,0
3,3,4,2,30,0,19,10,0
2,2,3,2,18,0,12,6,0
0,0,0,0,0,0,0,0,0
2,2,4,1,26,3,14,9,0
0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,5,4,0
4,4,5,2,30,1,20,8,0
1,1,1,1,9,0,4,4,0
1,1,1,1,17,0,7,10,0
2,2,3,2,12,0,10,2,0
2,2,3,2,15,0,10,4,0
3,2,3,1,22,0,13,8,0
2,2,2,1,25,0,10,13,0
1,1,1,1,7,0,3,4,0
1,1,1,1,9,0,4,5,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,2,2,1,17,0,10,6,0
1,1,1,1,12,0,5,7,0
1,1,1,1,9,0,6,3,0
1,1,1,1,6,0,6,0,0
1,1,1,1,10,0,6,4,0
1,1,1,1,8,0,3,5,0
1,1,1,1,11,0,5,5,0
1,1,1,1,10,0,5,4,0
1,1,1,1,2,0,2,0,0
1,1,1,1,14,0,6,7,0
0,0,0,0,0,0,0,0,0
6,6,6,2,34,2,23,9,0
1,1,1,1,12,0,6,6,0
5,5,5,2,32,2,21,9,0
1,1,1,1,9,0,4,4,0
1,1,1,1,8,0,4,4,0
2,2,2,1,18,0,14,4,0
3,3,3,2,20,0,15,5,0
1,1,1,1,8,0,2,5,0
2,2,2,1,17,0,12,4,0
1,1,1,1,9,0,3,6,0
1,1,1,1,13,0,6,6,0
3,3,3,1,21,0,14,6,0
1,1,1,1,13,0,6,6,0
2,2,2,1,18,0,12,5,0
1,1,1,1,13,0,7,6,0
3,3,3,1,23,0,17,5,0
0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,5,6,0
0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,6,5,0
2,2,2,1,15,0,7,8,0
0,0,0,0,0,0,0,0,0
8,8,9,5,48,4,36,7,0
4,4,5,1,29,3,22,3,0
4,4,5,1,34,4,24,5,0
1,1,1,1,4,0,4,0,0
1,1,1,1,8,0,3,5,0
1,1,1,1,9,0,6,2,0
1,1,2,1,12,0,6,6,0
1,1,1,1,7,0,4,3,0
2,2,2,1,18,1,10,5,0
0,0,0,0,0,0,0,0,0
1,1,2,1,13,0,7,5,0
3,3,3,1,21,1,12,7,0
2,2,2,1,17,1,10,6,0
2,2,3,1,22,1,12,9,0
1,1,1,1,10,0,6,3,0
1,1,1,1,11,0,5,5,0
0,0,0,0,0,0,0,0,0
3,3,3,1,23,0,15,8,0
1,1,1,1,8,0,4,4,0
1,1,2,1,9,0,4,4,0
1,1,1,1,8,0,3,4,0
2,2,2,2,18,3,10,4,0
2,2,2,1,14,2,8,3,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,2,4,0
0,0,0,0,0,0,0,0,0
1,1,1,1,9,0,4,5,0
1,1,1,1,8,0,4,4,0
1,1,1,1,6,0,3,3,0
2,2,2,1,13,0,8,4,0
1,1,1,1,0,0,0,0,0
1,1,1,1,4,0,3,1,0
1,1,1,1,1,0,1,0,0
1,1,1,1,9,0,4,4,0
0,0,0,0,0,0,0,0,0
2,2,2,1,17,1,8,7,0
1,1,2,1,12,0,6,5,0
0,0,0,0,0,0,0,0,0
2,2,2,1,18,0,11,6,0
1,1,1,1,8,0,4,4,0
2,2,2,1,19,1,10,7,0
1,1,1,1,8,0,4,4,0
1,1,2,1,15,0,8,7,0
