@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
3,3,3,1,22,0,15,6,0
3,3,3,1,19,0,12,6,0
1,1,1,1,12,0,6,5,0
1,1,2,1,11,0,6,4,0
2,2,3,1,17,0,10,6,0
1,1,2,1,11,0,6,4,0
1,1,1,1,10,0,7,3,0
2,2,2,1,17,0,11,6,0
1,1,1,1,14,0,7,7,0
2,2,2,1,14,1,8,4,0
2,2,3,1,17,0,10,5,1
3,3,4,1,17,0,13,3,0
3,3,3,2,19,1,13,4,0
1,1,1,1,10,0,5,3,0
1,1,2,1,13,0,7,5,0
3,3,3,1,23,0,15,7,1
1,1,2,1,13,0,6,6,0
1,1,2,1,12,0,7,5,0
2,2,2,1,13,0,8,4,1
4,4,4,1,40,3,29,8,0
1,1,1,1,9,0,5,4,0
2,2,2,1,19,0,12,6,0
1,1,1,1,7,0,5,2,0
1,1,1,1,8,0,3,5,0
1,1,1,1,12,0,7,5,0
4,4,4,1,21,0,15,6,0
1,1,1,1,8,0,4,3,0
1,1,1,1,9,0,3,5,0
1,1,1,1,11,0,5,6,0
2,2,2,1,11,0,6,5,0
4,4,5,1,25,0,21,4,0
2,2,2,1,15,0,9,6,0
2,2,2,1,18,0,10,7,1
3,3,4,1,25,1,16,7,0
1,1,1,1,7,0,3,4,0
2,2,2,1,17,0,10,6,1
1,1,1,1,8,0,3,4,0
2,2,2,2,16,0,11,4,0
5,5,7,2,31,1,23,7,0
2,2,3,1,14,0,9,5,0
1,1,1,1,12,0,7,4,0
3,3,3,1,19,0,12,6,0
2,2,2,1,14,0,8,5,0
2,2,2,1,14,0,7,6,0
1,1,1,1,10,0,5,5,0
2,2,3,1,16,0,10,6,0
1,1,1,1,5,0,5,0,0
1,1,2,1,13,0,7,6,0
2,2,2,1,9,0,7,2,0
1,1,1,1,11,0,5,5,0
1,1,1,1,10,0,4,5,0
1,1,1,1,10,0,5,4,0
2,2,2,1,18,0,11,6,0
2,2,2,1,12,1,6,4,0
1,1,2,1,13,0,7,5,0
1,1,1,1,10,0,6,4,0
3,3,3,1,17,0,12,4,0
1,1,1,1,11,0,6,5,0
2,2,3,1,15,0,9,5,0
1,1,1,1,10,0,3,7,0
1,1,1,1,13,0,8,5,0
2,2,2,1,15,1,7,6,0
1,1,1,1,10,0,5,5,0
2,2,2,1,15,0,8,7,0
2,2,2,1,16,0,9,7,0
2,2,2,1,16,0,9,6,0
2,2,3,1,19,0,11,7,0
1,1,2,1,14,0,8,5,0
1,1,1,1,10,0,4,6,0
1,1,1,1,8,0,3,4,0
2,2,2,1,12,0,8,3,0
0,0,0,0,0,0,0,0,0
2,2,3,1,13,0,10,3,0
1,1,1,1,13,0,7,5,0
0,0,0,0,0,0,0,0,0
2,2,2,1,12,0,8,4,0
2,2,2,1,16,0,10,5,0
2,2,3,1,15,0,9,5,0
2,2,2,1,12,0,8,3,0
1,1,1,1,9,0,5,4,0
1,1,2,1,15,0,7,7,0
2,2,2,1,16,0,10,4,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,6,5,0
2,2,3,1,15,0,8,5,0
2,2,3,1,19,1,11,6,0
3,3,3,1,24,1,15,8,0
1,1,1,1,17,2,8,7,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,3,6,3,32,0,18,14,0
2,2,3,1,19,0,12,6,0
5,5,7,1,39,5,25,8,0
4,4,4,3,45,2,35,8,0
3,3,3,1,28,1,21,6,0
3,3,3,1,25,1,17,7,0
13,13,16,1,92,10,57,25,0
11,11,11,1,81,15,51,15,0
5,5,5,1,40,7,25,7,0
1,1,1,1,13,1,6,5,0
3,3,3,3,14,0,10,4,0
2,2,2,1,12,0,8,4,0
0,0,0,0,0,0,0,0,0
1,1,1,1,8,0,3,5,0
1,1,1,1,9,0,4,5,0
2,2,2,1,10,0,6,4,0
1,1,1,1,12,0,6,5,0
1,1,1,1,9,0,5,3,0
2,2,2,2,12,0,8,3,0
2,2,2,2,15,0,9,6,1
1,1,1,1,7,0,3,4,0
2,2,2,1,8,0,4,4,0
1,1,1,1,10,0,6,4,0
2,2,2,1,12,0,8,3,0
3,3,3,1,21,0,13,7,0
2,2,2,2,16,1,10,5,0
1,1,1,1,9,0,4,4,0
3,3,3,1,20,0,14,4,0
2,2,2,1,8,0,4,4,0
2,2,2,1,12,0,8,5,0
1,1,1,1,10,0,5,5,0
3,3,3,1,16,0,10,6,0
3,3,3,3,14,0,10,4,0
2,2,4,1,16,0,8,8,0
2,2,2,1,12,0,8,3,0
2,2,2,1,12,0,8,3,0
1,1,1,1,7,0,5,2,0
3,3,3,2,16,0,11,4,0
2,2,2,1,15,0,10,5,0
1,1,1,1,12,0,6,5,0
2,2,2,1,17,0,9,8,0
1,1,1,1,7,0,3,4,0
3,2,3,1,19,1,12,5,0
